iter	Passed	Remaining
0	0	92
1	2	102
2	3	99
3	3	91
4	4	85
5	5	86
6	6	87
7	7	85
8	8	81
9	8	78
10	9	76
11	10	77
12	11	77
13	13	81
14	13	78
15	14	75
16	15	73
17	15	71
18	16	69
19	16	67
20	17	65
21	18	65
22	19	64
23	20	63
24	20	62
25	21	61
26	22	59
27	22	58
28	23	57
29	24	56
30	24	55
31	25	54
32	26	53
33	27	53
34	28	52
35	29	52
36	30	51
37	30	50
38	31	49
39	32	48
40	33	47
41	34	48
42	35	47
43	36	46
44	37	45
45	37	44
46	38	43
47	39	42
48	40	42
49	41	41
50	42	41
51	43	40
52	44	39
53	45	38
54	46	37
55	47	37
56	47	36
57	49	35
58	49	34
59	50	33
60	50	32
61	51	31
62	52	30
63	52	29
64	53	28
65	54	28
66	56	27
67	57	26
68	58	26
69	59	25
70	60	24
71	61	23
72	61	22
73	62	22
74	64	21
75	64	20
76	65	19
77	65	18
78	66	17
79	66	16
80	67	15
81	67	14
82	68	13
83	68	13
84	69	12
85	73	12
86	74	11
87	75	10
88	76	9
89	77	8
90	78	7
91	80	7
92	81	6
93	82	5
94	83	4
95	84	3
96	85	2
97	86	1
98	88	0
99	89	0
